Experiment 3 ,03_03_2020_23-28-40

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,neurons_no,accuracy,loss
0,41,0.909,0.29234970927238463
1,56,0.908,0.3187295732498169
2,74,0.899,0.28886073660850525
3,29,0.9,0.33574808955192564
4,37,0.899,0.3153400092124939
5,34,0.896,0.3145462527275085
6,42,0.898,0.3181206634044647
7,44,0.903,0.31331633281707766
8,43,0.908,0.30218930196762084
9,47,0.903,0.30450977182388306
10,57,0.904,0.29215308046340943
11,55,0.907,0.2918790645599365
12,53,0.913,0.2813980131149292
13,77,0.904,0.2766462152004242
14,92,0.916,0.2538036916255951
15,92,0.917,0.2652424018383026
16,89,0.912,0.2758415763378143
17,122,0.921,0.24972288537025453
18,178,0.93,0.22918979954719543
19,122,0.918,0.25816058230400085
20,103,0.91,0.26441677784919737
21,158,0.923,0.24289996647834777
22,218,0.925,0.21886723268032074
23,199,0.918,0.2537765375375748
24,199,0.92,0.23485985255241393
25,234,0.928,0.22850319647789002
26,215,0.928,0.21875820350646974
27,303,0.932,0.21912995457649231
28,206,0.919,0.24152956652641297
29,206,0.924,0.2292445992231369
30,281,0.932,0.21752411556243897
31,281,0.934,0.21770975255966188
32,214,0.921,0.22329328978061677
33,293,0.923,0.21832932859659196
34,325,0.93,0.20687752652168273
35,445,0.932,0.21923272693157195
36,176,0.921,0.23588365030288697
37,187,0.919,0.23289851975440978
38,197,0.924,0.22385567021369934
39,260,0.922,0.2180674488544464
40,340,0.922,0.24550973653793334
41,324,0.926,0.2197010818719864
42,433,0.921,0.2331116060614586
43,433,0.933,0.20616853976249694
44,550,0.935,0.19513320529460906
45,362,0.929,0.21718347001075744
46,537,0.927,0.20411289709806443
47,224,0.923,0.2227245376110077
48,195,0.924,0.22853033804893494
49,234,0.929,0.21758419919013977
50,216,0.925,0.22485619258880615
51,149,0.926,0.23585259938240052
52,215,0.918,0.2331381561756134
53,132,0.919,0.24636074328422547
54,154,0.921,0.23986771655082703
55,197,0.923,0.24746656942367554
56,254,0.924,0.21945447862148285
57,246,0.928,0.22421871328353882
58,358,0.928,0.2184571168422699
59,273,0.93,0.214304146528244
60,249,0.923,0.22051859974861146
61,257,0.929,0.20698070657253265
62,276,0.933,0.21113324093818664
63,320,0.932,0.20106605195999144
64,429,0.931,0.22070378571748733
65,429,0.936,0.1829468035697937
66,464,0.937,0.20680659800767898
67,414,0.928,0.2171917532682419
68,455,0.93,0.21179760766029357
69,562,0.924,0.20838643634319307
70,562,0.928,0.22131846237182617
71,785,0.938,0.19496380388736725
72,632,0.937,0.22620989459753035
73,1071,0.942,0.17253987139463425
74,919,0.941,0.18501193749904632
75,981,0.938,0.18795662453770637
76,1584,0.939,0.18436481887102127
77,1584,0.938,0.17892483529448508
78,1776,0.927,0.23890587693452836
79,2622,0.936,0.20221914872527122
80,2622,0.943,0.16495127168297768
81,3003,0.941,0.19707944868505
82,3255,0.951,0.15555248737335206
83,4649,0.941,0.18871569114923478
84,2380,0.929,0.20564579260349275
85,2334,0.946,0.17206340277194976
86,4712,0.939,0.21092700213193893
87,2770,0.948,0.17235285174846648
88,2960,0.941,0.19046902376413347
89,3240,0.94,0.19511477088928222
90,2864,0.937,0.1971199512630701
91,2507,0.944,0.1763813640475273
92,2588,0.938,0.19405731242895127
93,3021,0.951,0.16063422590494156
94,2599,0.944,0.18256268858909608
95,2055,0.947,0.17934128919243814
96,1947,0.941,0.20767591160535812
97,2069,0.95,0.17574460822343826
98,2644,0.949,0.16387835040688514
99,1961,0.948,0.1647194719016552
100,2012,0.944,0.17301252979040146
101,2709,0.94,0.18090392065048216
102,2127,0.949,0.1748440951704979
103,2751,0.943,0.1798453045487404
