Experiment 2 ,26_04_2020_23-40-10

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,100
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.6

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,90655,3,0.936,0.24488118290901184
1,90655,3,0.928,0.2836876984871924
2,90655,3,0.93,0.25353216037154197
3,110389,3,0.943,0.26574862921237946
4,110389,3,0.933,0.24454204607009888
5,133961,3,0.931,0.26691840959340335
6,145017,3,0.946,0.22643578496575356
7,145017,3,0.941,0.24786552104353904
8,145017,3,0.948,0.19598315255343915
9,145017,3,0.939,0.23278245145082474
10,130841,3,0.946,0.22932465445995331
11,176114,3,0.941,0.2157656884789467
12,178366,4,0.93,0.2748862695544958
13,176114,3,0.943,0.20033545979857445
14,172914,2,0.942,0.20561456924676896
15,172914,2,0.949,0.2135676659345627
16,169685,3,0.945,0.19910152679681778
17,169685,3,0.933,0.25273893879354
18,191177,3,0.94,0.2122676170691848
19,187503,2,0.953,0.1849348609149456
20,167363,3,0.946,0.20838203246891498
21,158628,2,0.944,0.2011295745074749
22,193448,3,0.932,0.2803823701143265
23,224619,2,0.947,0.19073043486475943
24,209571,2,0.942,0.2033723486959934
25,219074,3,0.942,0.20237050803005696
26,224567,3,0.925,0.35866164779663084
27,228338,2,0.949,0.19337787444889545
28,243363,2,0.948,0.19064765474572778
29,238354,3,0.949,0.18855872996523976
30,231242,3,0.94,0.2240038197413087
31,231242,3,0.944,0.23268777477741243
32,231242,3,0.949,0.21002029792964458
33,231242,3,0.945,0.21676156917214393
34,239255,3,0.946,0.21500414691865444
35,216827,3,0.943,0.18561512842029332
36,223769,3,0.938,0.19363375151902437
37,223769,3,0.947,0.17753262431919575
38,219963,2,0.951,0.1935001171529293
39,223769,3,0.947,0.20581170995533465
40,219963,2,0.944,0.18834169355034827
41,258972,2,0.947,0.19677861408516764
42,258972,2,0.949,0.20042197960615157
43,262807,2,0.945,0.19296741423010827
44,270375,2,0.942,0.19690154726803302
45,305605,2,0.954,0.18546019638329744
46,271899,2,0.944,0.1928275275453925
47,327150,2,0.944,0.18931521841883658
48,342915,2,0.947,0.18495394445955754
49,347007,2,0.944,0.19773471319675445
50,358219,3,0.947,0.2066360441558063
51,415167,2,0.952,0.18979406097531318
52,406868,2,0.946,0.18775949811935425
53,430155,2,0.944,0.19104986111819744
54,195580,1,0.938,0.20308358785510064
55,642012,2,0.956,0.19073210852593184
56,874100,2,0.951,0.19828384115546943
57,874100,2,0.945,0.18533658473938702
58,607390,1,0.95,0.17329461190104484
59,676475,2,0.949,0.17940515103936194
60,676475,2,0.956,0.17927471368573605
61,676475,2,0.953,0.19001031531393528
62,676475,2,0.952,0.1831794522330165
63,753955,2,0.953,0.18617102124541998
64,756513,3,0.954,0.1987927916366607
65,904308,2,0.952,0.17447689270228148
66,1136121,2,0.948,0.1900597554370761
67,942325,2,0.95,0.2034307438209653
68,842628,2,0.951,0.1876709653586149
69,842628,2,0.953,0.18109695716947316
70,697668,2,0.951,0.19158754508197307
71,641553,2,0.953,0.18874196906387805
72,641553,2,0.952,0.1870867082476616
73,641553,2,0.95,0.1880675848275423
74,718408,2,0.956,0.1739534512087703
75,592120,2,0.954,0.1742148440629244
76,547000,2,0.952,0.18154492174834014
77,686895,2,0.949,0.19632301829010249
78,686895,2,0.949,0.17793326054885983
79,893227,2,0.953,0.18408905037492512
80,1094970,2,0.951,0.19338252072408796
81,881687,2,0.953,0.16720832401514055
82,1062231,2,0.955,0.1748018384873867
83,881687,2,0.955,0.1700801993869245
84,881687,2,0.953,0.16993417302146555
85,881687,2,0.951,0.18345355857163667
86,881687,2,0.947,0.19312673074752093
87,1114926,2,0.946,0.19926751950383187
88,1114695,2,0.949,0.19047185099124908
89,1114695,2,0.952,0.17838194598816334
90,1114695,2,0.948,0.18691946568340062
