Experiment 3 ,03_04_2020_03-20-16

Data shape and running
input_shape ,"(32, 32, 3)"
output_shape ,10
scaling ,255.0
epochs ,1
max_runtime,1
dataset_percentage,0.1
dataset,cifar10

Hyper parameters
activation_function ,Activation.elu
initial_max_nodes ,1
loss_function ,Loss.squared_hinge
optimizer ,Optimizer.SGD

GA parameters
population_size ,1
mating_pool ,1
mutation_rate,1.0

OUTPUT
epoch,accumulated_time,accuracy,loss
1,4.235242128372192,0.24,1.9385148887634278
2,7.0014002323150635,0.363,1.7183145999908447
3,9.785559892654419,0.305,1.8724185228347778
4,12.552717685699463,0.335,1.9165842685699463
5,15.324876546859741,0.415,1.646396641731262
6,18.121036529541016,0.464,1.461826361656189
7,20.898195266723633,0.533,1.3394675998687744
8,23.680354356765747,0.448,1.5445267543792724
9,26.45551300048828,0.559,1.2432377815246582
10,29.2626736164093,0.547,1.2903901376724243
11,32.04883289337158,0.547,1.2354769725799561
12,34.801990270614624,0.521,1.4190838165283204
13,37.56114840507507,0.594,1.1708395485877992
14,40.36530876159668,0.629,1.0262399225234986
15,43.14646792411804,0.624,1.0937715187072754
16,45.912625789642334,0.621,1.0874134674072267
17,48.6697838306427,0.637,1.0703005752563477
18,51.45794320106506,0.627,1.0905783500671387
19,54.20210027694702,0.655,1.0090139107704164
20,56.95425772666931,0.639,1.1163713073730468
21,59.73241639137268,0.621,1.1769553737640381
22,62.515575885772705,0.612,1.1918191971778869
23,65.33873701095581,0.625,1.1459066829681397
24,68.09289479255676,0.631,1.171834499835968
25,70.86505317687988,0.635,1.1019779210090637
26,73.65521287918091,0.678,1.0078856639862062
27,76.4663736820221,0.547,1.8699314661026
28,79.22253131866455,0.633,1.193411150932312
29,81.99568963050842,0.669,1.1252992067337035
30,84.76384806632996,0.628,1.2422674341201783
31,87.57400870323181,0.614,1.2920900263786317
32,90.33316659927368,0.632,1.282420968055725
33,93.09832501411438,0.669,1.1154546709060669
34,95.88348412513733,0.678,1.1052537117004395
35,98.64464211463928,0.68,1.0655690016746522
36,101.47680401802063,0.687,1.0769014916419983
37,104.24696230888367,0.683,1.1370109062194824
38,107.01112055778503,0.571,1.8671325025558472
39,109.76527810096741,0.692,1.096500384569168
40,112.57243871688843,0.645,1.3374498558044434
41,115.34259700775146,0.692,1.1066119246482848
42,118.10775518417358,0.662,1.2889032516479493
43,120.87391352653503,0.71,1.0776490354537964
44,123.69607496261597,0.688,1.1387677383422852
45,126.469233751297,0.68,1.2081863985061645
46,129.24839234352112,0.714,1.0561149854660035
47,132.02455139160156,0.669,1.2557081651687623
48,134.79170966148376,0.68,1.2096696920394898
49,137.58386945724487,0.65,1.3779512672424317
50,140.35002756118774,0.673,1.2346472902297974
51,143.10918521881104,0.665,1.241845079421997
52,145.8653428554535,0.697,1.209423032283783
53,148.6575026512146,0.661,1.426045262336731
54,151.38565850257874,0.657,1.3940429830551146
55,154.11481475830078,0.677,1.30205060005188
56,156.8429708480835,0.711,1.097645209312439
57,159.61512923240662,0.715,1.1666427669525146
58,162.34828567504883,0.677,1.266547710418701
59,165.0774416923523,0.702,1.2165019474029541
60,167.88260221481323,0.683,1.3390624504089355
61,170.65876126289368,0.689,1.2506262521743774
62,173.4829225540161,0.693,1.209619698047638
63,176.25308108329773,0.683,1.2928143119812012
64,179.03924036026,0.706,1.330778214454651
65,181.81439924240112,0.71,1.2656068892478942
66,184.60755896568298,0.681,1.3055387716293334
67,187.3927183151245,0.667,1.3923880739212036
68,190.18487787246704,0.689,1.3066914072036744
69,192.94503569602966,0.679,1.3666107540130614
70,195.77419757843018,0.7,1.2147357149124145
71,198.54035592079163,0.694,1.4024814085960389
72,201.30651378631592,0.696,1.3356362867355347
73,204.08267283439636,0.696,1.3687228469848634
74,206.86183190345764,0.715,1.1793910522460938
75,209.68499326705933,0.706,1.3411646590232849
76,212.46315217018127,0.691,1.2359591999053956
77,215.24731135368347,0.662,1.4540222177505493
78,217.98646807670593,0.703,1.3353266324996949
79,220.78762817382812,0.695,1.3764941291809083
80,223.56078696250916,0.716,1.2939560146331788
